ticket_id,driver_id,timestamp,category,message,status
T-1046,D-LON-009,2026-03-02 12:00,Quest,"Why was my quest reward £20 instead of £30? I did all 10 trips.","OPEN"
T-1047,D-LON-018,2026-03-01 13:15,Airport,"Short fare from LHR. 120 min wait. Losing patience.","OPEN"
T-1048,D-LON-021,2026-03-02 08:45,Technical,"GPS issues near Soho. Can't accept jobs.","OPEN"
T-1049,D-LON-030,2026-03-01 10:30,Airport," Heathrow short fare after 110 min wait. Third time this month.","OPEN"
T-1050,D-LON-033,2026-03-02 11:15,Payment,"Fare not calculated correctly for my last trip. Map distance was 12 miles, but only paid for 8.","OPEN"
T-1051,D-LON-039,2026-03-01 22:15,Cancellation,"I shouldn't have been charged for that cancellation. Passenger had a dog and I have an allergy.","OPEN"
T-1052,D-LON-044,2026-03-02 07:45,General,"When do the new loyalty tiers get updated in the app?","OPEN"
T-1053,D-LON-051,2026-03-01 09:00,Technical,"Geofence won't let me end trip. Lost £5 in time.","OPEN"
T-1054,D-LON-057,2026-03-02 12:30,Airport,"Gatwick wait 115 mins. Short fare (£10). Very disappointed.","OPEN"
T-1055,D-LON-065,2026-03-01 15:00,Payment,"Payment delayed for my shift yesterday. Any updates?","OPEN"
T-1056,D-LON-071,2026-03-02 08:15,Technical,"App froze on pickup. Passenger was annoyed. Please check app stability.","OPEN"
T-1057,D-LON-077,2026-03-01 19:15,Airport," Heathrow wait 140 mins. Fare £9. Total waste of time.","OPEN"
T-1058,D-LON-081,2026-03-02 11:45,Payment,"Earnings for trip D-LON-081-01 are missing from my daily report.","OPEN"
T-1059,D-LON-087,2026-03-01 14:00,General,"How do I get a FREENOW airport permit for Heathrow?","OPEN"
T-1060,D-LON-093,2026-03-02 10:45,Technical,"GPS glitch in Canary Wharf. Couldn't end trip for 10 mins.","OPEN"
T-1061,D-LON-099,2026-03-01 17:30,Airport,"Short fare again. 130 min wait. Seriously considering leaving.","OPEN"
T-1062,D-LON-003,2026-02-15 14:00,General,"Thanks for resolving the Soho issue last week.","RESOLVED"
T-1063,D-LON-007,2026-03-02 09:00,Payment,"First trip ever glitched. £12 missing. Not a great start.","OPEN"
T-1064,D-LON-011,2026-03-01 20:00,Airport,"LHR short fare. Wait was 95 mins. Just reporting.","OPEN"
T-1065,D-LON-017,2026-03-02 12:00,Technical,"App slow to respond to touch. Hard to accept jobs.","OPEN"
T-1066,D-LON-024,2026-02-28 11:00,Airport,"Gatwick short fare yesterday. 100 min wait.","CLOSED"
T-1067,D-LON-029,2026-03-01 16:30,General,"My car registration has changed. Update please.","OPEN"
T-1068,D-LON-035,2026-03-02 10:30,Airport," Heathrow wait 120 mins. Fare £8. Gold tier priority should fix this.","OPEN"
T-1069,D-LON-042,2026-03-01 07:15,Technical,"Geofence issue again in the City. Lost 10 mins.","OPEN"
T-1070,D-LON-047,2026-03-02 11:45,Airport,"Short fare Gatwick. 105 min wait. Unlucky today.","OPEN"
T-1071,D-LON-053,2026-02-10 13:00,General,"Earnings statement for January received, thank you.","RESOLVED"
T-1072,D-LON-059,2026-03-01 21:45,Payment,"Bonus for EV driving hasn't been added to my wallet.","OPEN"
T-1073,D-LON-064,2026-03-02 08:30,Technical,"App froze on the way to a pickup. Job was lost.","OPEN"
T-1074,D-LON-069,2026-03-01 12:15,Airport," Heathrow wait 145 mins. Short fare. Really poor.","OPEN"
T-1075,D-LON-074,2026-03-02 09:45,Payment,"Missing £5 from a cancellation fee at Euston.","OPEN"
T-1076,D-LON-080,2026-03-01 10:00,General,"When is the next driver meetup in London?","OPEN"
T-1077,D-LON-086,2026-03-02 12:15,Technical,"GPS frozen near Mayfair. Stuck in trip.","OPEN"
T-1078,D-LON-092,2026-03-01 18:30,Airport,"Short fare from Gatwick. 110 min wait.","OPEN"
T-1079,D-LON-098,2026-03-02 11:30,Payment,"Daily report says £140, but I only see £125 in my wallet.","OPEN"
T-1080,D-LON-100,2026-03-01 15:15,Technical,"Geofence glitch at Soho. Third time this week.","OPEN"
T-1081,D-LON-001,2026-02-01 14:00,General,"Question about fuel discounts.","RESOLVED"
T-1082,D-LON-005,2026-03-02 08:00,General,"Just saying the new app update looks great!","OPEN"
T-1083,D-LON-014,2026-03-01 19:45,Airport,"Short fare LHR. 100 min wait. Just a bit of a moan.","OPEN"
T-1084,D-LON-020,2026-03-02 07:30,Technical,"GPS glitch on the motorway. Corrected itself but scary.","OPEN"
T-1085,D-LON-026,2026-03-01 22:00,Payment,"Fare not added for my trip to Ilford (£25).","OPEN"
T-1086,D-LON-032,2026-03-02 10:00,Airport," Heathrow short fare. 130 min wait. Gold tier should protect us.","OPEN"
T-1087,D-LON-038,2026-03-01 09:15,Technical,"App slow to open. Taking 30 seconds to load.","OPEN"
T-1088,D-LON-045,2026-03-02 11:15,Airport,"Short fare Gatwick. 115 min wait. Unfair.","OPEN"
T-1089,D-LON-050,2026-03-01 13:45,General,"Lost property - set of keys.","OPEN"
T-1090,D-LON-058,2026-03-02 08:45,Technical,"Geofence issue near Shoreditch. Ended trip manually.","OPEN"
T-1091,D-LON-062,2026-03-01 11:30,Airport," Heathrow short fare. 125 min wait. Second time today.","OPEN"
T-1092,D-LON-068,2026-03-02 12:45,Payment,"Where is the credit for my referral bonus?","OPEN"
T-1093,D-LON-076,2026-03-01 16:00,Technical,"GPS jumping around in the West End. Unusable.","OPEN"
T-1094,D-LON-083,2026-03-02 10:15,Airport,"Short fare Gatwick. 100 min wait. Poor.","OPEN"
T-1095,D-LON-088,2026-03-01 19:00,General,"Need a replacement phone holder for my cab.","OPEN"
T-1096,D-LON-094,2026-03-02 07:15,Technical,"App crashed on trip end. Restart fixed it.","OPEN"
T-1097,D-LON-002,2026-02-15 10:00,General,"Bank change confirmed.","RESOLVED"
T-1098,D-LON-010,2026-03-02 11:00,Airport," Heathrow short fare. 140 min wait. Extremely poor.","OPEN"
T-1099,D-LON-001,2026-03-02 18:00,General,"Can I book my driver medical check through the app?","OPEN"
T-1100,D-LON-003,2026-03-02 17:30,Technical,"Soho geofence glitch again. Fourth time today.","OPEN"
